t,x,x_exact,error
8.200000000000001,0.03545374156975715,0.02210676338547908,0.013346978184278067
8.3,0.02625925169728783,0.009098422462536592,0.017160829234751235
8.4,0.017337475858191412,-0.00336416731907381,0.020701643177265222
8.5,0.008757145105664688,-0.015186162284722101,0.02394330739038679
8.6,0.000579878875869055,-0.0262835875708615,0.026863466446730558
8.700000000000001,-0.007139993783144455,-0.03658362546501547,0.029443631681871016
8.8,-0.014355534086146402,-0.04602478094577374,0.03166924685962734
8.9,-0.021027218012694027,-0.05455692879848173,0.0335297107857877
9.0,-0.027122889471581462,-0.062141247623047055,0.03501835815146559
9.1,-0.03261764660759243,-0.0687500468933638,0.03613240028577137
9.200000000000001,-0.03749366610753114,-0.07436649396976619,0.03687282786223505
9.3,-0.041739970672496615,-0.07898424860439048,0.03724427793189386
